,text,Radnja,Rezija,Gluma,Muzika,Opsti utisak film,Opsti utisak komentar,Specijalni efekti
625,diiivan film! obožavam Giljerma!,None,Positive,None,None,Positive,None,None
626,"dobar film, ali gluma Spejsija je nezaboravna, čovek briljira, bez ovakve glume film ne bi bio isti. Stojeće ovacije. Još jedan nedovoljno iskorišćen potencijal u Holivudu.",None,None,Positive,None,Positive,None,None
627,"Fantastičan film. Nije mi jasno zašto su ga onako ocrnili na Rotten Tomatoes, još jedan dokaz da se ne treba uzdati u takve sajtove.",None,None,None,None,Positive,None,None
628,"Ovo je jedan od najboljih filmova koje sam gledao u životu (a gledao sam ih preko 1500). Nepravedno potcenjen, pravi biser triler kinematografije. Svaka reč u ovoj recenziji je na mestu!!!",None,None,None,None,Positive,Positive,None
629,Fantastično u svakom smislu te reči! Mislim da svaki pravi filmofil ovo mora da pogleda...,None,None,None,None,Positive,None,None
630,"Da, malo postaje providno pri kraju, ali mi je ipak bio vrlo interesantan kada sam ga prvi put gledao, očekivao sam neki izlizani triler.",None,None,None,None,Positive,None,None
632,Vidim da svi hvalite ovaj film pa ću ga staviti da skinem da pogledam. Hvala na preporuci.,None,None,None,None,None,Positive,None
634,Kao i kod svakog misterioznog trilera... kraj je najbitniji! :D,None,None,None,None,Positive,None,None
635,"Woow da nema onakav kraj rekao bih ništa posebno, al baš taj deo daje pravi efekat :D sviđa mi se, iako je malo nepravedan :/",None,None,None,None,Positive,None,None
636,Ja ga isto baš gotivim... sjajan :),None,None,None,None,Positive,None,None
637,Mnogo dobar film! Definitivno preporuka.,None,None,None,None,Positive,None,None
639,pun pogodak!!,None,None,None,None,Positive,None,None
640,Intenzitet tenzije koji proizvodi je stvarno neverovatan..,None,None,None,None,Neutral,None,None
641,ovo je definitivno jedan od najboljih trilera svih vremena!,None,None,None,None,Positive,None,None
644,"Odličan... vrlo ""dubok"" i pun emocija, nimalo dugačak, iako traje 2 i po sata. 10/10.",None,None,None,None,Positive,None,None
645,Ljudi ovo je remek delo. Aj pogledajte ga još jednom!!!,None,None,None,None,Positive,None,None
646,"Umetnički film, više zasnovan na pejzažima i emocijama nego na konkretnoj radnji.",Neutral,None,None,None,None,None,Positive
647,"Juu kako se sporo odvija, sam završetak traje kao da se nikad neće završiti, muzika je odlična.. a i super je kako se od lika kao što je Trevis (na početku pogubljen) formira sasvim drugi stav kroz radnju filma, po meni ništa specijalno.. onako sasvim ok :D",Neutral,None,None,Positive,Neutral,None,None
648,"Kao i svaki Wendersov film, dosta sporo se odvija radnja, više je baziran na detaljima i osećaju koji stvara...",Neutral,Neutral,None,None,None,None,None
649,"ovako. film je zaista dobar. glumci sjajni, radnja okej, čak mi se sviđa i ona gitara što se povremeno čuje. ali 2 i po sata?!?! nisam znala kako više da se namestim. malo su otegli radnju... ali kul je.",Positive,None,Positive,None,Positive,None,None
650,Odličan... umetničko delo!,None,None,None,None,Positive,None,None
652,"Mene je film uspeo da nasmeje svega par puta, a već viđena romantična priča me je stvarno smorila... 3/10",Negative,None,None,None,Negative,None,None
653,Hahaha smešan film!!! Preporuke!,None,None,None,None,Positive,None,None
654,"Neobičan, interesantno upakovan, sa bogatim i interesantnim scenarijom. Sve u svemu odličan film. :)",Positive,None,None,None,Positive,None,None
655,Mislim da ću ga pogledati. Veoma zanimljiv i vredan vremena. :) Hvala!,None,None,None,None,Positive,Neutral,None
656,"oodličan film! potpuno drugačiji od drugih slične tematike, jasno je da nije u klasičnoj holivud produkciji",None,None,None,None,Positive,None,None
660,Ne slažem se... cilj te prenaglašenosti i nerealnosti scena je upravo radi komičnog pogleda i sarkastičnog oponašanja tih istih momenata u akcionim filmovima... koliko znaš američkih akcija gde ima nerealnih momenata? :),Neutral,None,None,None,None,Negative,None
661,"Nije loš al ima nekih stvari koje baš i nisu ""realne"" što u neku ruku kvari utisak",None,None,None,None,Neutral,None,None
662,"Vrlo čudan humor, al valjda je zbog toga tako zanimljiv i kul :D",None,None,None,None,Positive,None,None
663,pogledati obavezno francusku originalnu verziju filma iz 1998 Le diner de cons. Najsmešniji film ikada :),None,None,None,None,Positive,None,None
664,"Ja kapiram njegov humor, ali ovo je jednostavno slabo...",None,None,None,None,Negative,None,None
666,Ništa gore od jezivog i nesposobnog reditelja...,None,Negative,None,None,None,None,None
667,"Da, ali sam film je zamišljen odlično - sad koliko je pravljen, navodno, po istinitoj priči... bla bla.. nevermind.. ali sama zamisao da se napravi film bez muzike, samo glasovi glumaca... šumovi... sa nekoliko kamera, da izgleda kao da je realan dokumentarac... dovoljno jezivo... ;) love horror!",Neutral,None,None,None,Positive,None,Positive
669,"Sinoć sam ga odgledala i slažem se s tvojim mišljenjem. Skroz neinventivno... Meni je nakon 'Blair witch project' retko šta 'horor' :D (da ne pominjem da sam ga gledala u šumi, na letnjoj pozornici... kako smo se vratili kući - ne pitaj :D)",None,None,None,None,Neutral,Positive,None
670,najlošiji od svih delova Ramba,None,None,None,None,Negative,None,None
671,teško sranje od filma,None,None,None,None,Negative,None,None
672,Nisam ga mogla odgledati do kraja... Uh... Scena sa onom svinjom me je dotukla... bljaaaak! :-) Mada volim Stalonea <3,None,None,Positive,None,Negative,None,None
673,"najs... u pisanoj formi je trilogija, nadajmo se da će dovući dovoljno novca da naprave i film trilogiju :)",None,None,None,None,Positive,None,None
674,"I meni je divan film, takođe se nadam nastavcima, čak su ga i moji matorci odgledali i oduševili se!",None,None,None,None,Positive,None,None
677,"Drago mi je da delimo isto mišljenje, svakako mislim da će biti nastavak, tačnije trilogija, pošto autor ovog romana na kojem je inspirisan film, sadrži još dve knjige po ovom štivu. Nadajmo se podjednako kvalitetnim nastavcima! :D",None,None,None,None,Positive,Positive,None
678,"Pa zamisli tipa ""Lord of the Rings"", ""Braveheart"", ""Pirates of the Caribbean"" samo sa sovama.... odlično je vrlo interesantno, plus ima i malu dozu komedija, sa par skroz šašavih likova, baš kao u piratima... obavezno pogledaj.",None,None,None,None,Positive,None,None
680,I meni... ali ovo je baš onako sellout cheap! Grozno...,None,None,None,None,Negative,None,None
681,Iz principa odbijam da gledam bilo koju USA friendly adaptaciju i ekranizaciju evropskog / azijskog filma. PS 13 Tzameti mi se dopao. Baš.,None,None,None,None,Positive,None,None
682,definitivno zaslužuje 10/10,None,None,None,None,Positive,None,None
683,"sjajna je i muzika za film, koju je radio Nil Jang i to tako što je seo sam u bioskop (ili prostoriju sa projektorom) sa gitarom, pustio film i smišljao muziku na licu mesta kako je tekao film.",None,None,None,Positive,None,None,None
684,Gledao sam ovaj film ali mi se nije svideo. Film nema nikakve akcije. Dosadan!,None,None,None,None,Negative,None,None
685,tarantino at his best! desetka i ništa više,None,Positive,None,None,Positive,None,None
686,upravo sam pogledao ovaj film i moj prvi utisak je fenomenalan. kill bill i ovaj film su jedni od najboljih filmova koje sam gledao kventin tarantino je genije :). moraću da pogledam i pulp fiction nadam se još jednom fantastičnom ostvarenju.,None,Positive,None,None,Positive,None,None
688,Jaoo koliko sranja na jednom mestu. Nikakav film.,None,None,None,None,Negative,None,None
689,užas,None,None,None,None,Negative,None,None
691,"film jeste idiotski u nekim delovima ali od mene bi dobio bar 3-4... mada ja filmove koji nemaju bar 6 kod mene stavljam u istu kategoriju, tako da je svejedno da li je 1,2,3,4 ili 5",None,None,None,None,Negative,None,None
693,Priznaj da si bar zbog dobre glume mogao dati 2/10 :),None,None,Positive,None,None,None,None
694,"Isto tako... kao što sam gore u nekim komentima napisao, pogledaj bolje film ""The Heat""",None,None,None,None,None,Positive,None
695,"Film je teško smeće! Ja odavno izbegavam Ben Afleka, ali ovaj put mu dadoh šansu jer su ga hvalili neki meni bliski istomišljenici. Džaba... ja ništa nisam video od onoga što su oni videli.",None,None,Negative,None,Negative,None,None
696,"Apsolutno se slažem... prenapaljeno, ilogično, i pored svega, ogromna pljačka filma ""Heat"". Jedinica kao kuća! XD",None,None,None,None,Negative,Positive,None
698,Blasfemija od recenzije. moja ocena 7/10,None,None,None,None,None,Negative,None
700,"Matori, pa mega je loše... pogotovo period kad Rejner leži pogođen iza onog sandučeta i jede onaj bačeni sendvič... gore nego u ranama",None,None,None,None,Negative,Negative,None
701,"Nisi objektivan, ali to je lepota cele priče. :) Da ne reaguješ na Ben Afleka kao na zakasnelu menstruaciju dao bi mu 7, priznaj.",None,None,Positive,None,None,Negative,None
702,"Meni se uopšte nije svideo, gluma mi je bila užasna, a svaki deo radnje užasno predvidiv... plus i drmusava kamera sa velikim zumom u sekvencama jurnjave... blagi užas.",Negative,None,Negative,None,Negative,None,Negative
703,"Pa zbilja je jako loš, ne bih ga tek tako ocrnio.... gledao sam, radiću tek sl. nedelje recenziju... nadam se da ćeš imati strpljenja.",None,None,None,None,Negative,Neutral,None
704,"Pogledajte ako ne verujete mojem mišljenju... ali film je stvarno idiotski smešan... ""Heat"" je svakako bolji izbor... ali treba pogledati oba radi sarkastičnog ismevanja...",None,None,None,None,Negative,None,None
706,"Ne vredi, ja i Ben nismo ""u ljubavi"" još od Dobrog Vila Hantinga. Lik ima takvu ""white trash"" facu, što samo po sebi nije toliko loše, ali njegova gluma... povraćka.",None,None,Negative,None,None,None,None
707,"Hahahaha! Videh kako si sinoć reagovao na ovaj film, pa mi je zato smešna recenzija. :D Kod ove ocene na kraju sam očekivala -1/10, ali dobro, dobio je film celu jedinicu. Sve u svemu, opet si najbolje objasnio suštinu priče, što je dovoljno da ga ne pogledam.",None,None,None,None,Negative,Positive,None
708,odlična su oba dela kil bila sjajan film,None,None,None,None,Positive,None,None
709,"Apsolutno se slažem, istim očima gledamo ovaj maestralni projekat... ništa mi ga ne može srušiti! Naprosto mindblowing...",None,None,None,None,Positive,Positive,None
710,odličan film,None,None,None,None,Positive,None,None
711,"Odličan film, kao i svaki Tarantinov. Teško je ljudima, koji nisu upoznati sa njegovim radom, da shvate šta je hteo da kaže sa kojim filmom. Odličan blog",None,None,None,None,Positive,None,None
714,"Pa to je i fora, da nema nikakvog dodira sa realnošću.. Baš kao u Bruce Lee-ovim filmovima, gde je jedan lik, ""totalno sasvim najbolji dasa""... Tarantino voli da preteruje, i kao pravi omaž Kung-Fu filmova, sve je izvaljeno van proporcije! :D",None,Neutral,None,None,None,None,None
715,To je Tarantinov potpis. Ne mora da bude realno da bi bilo umetnost :),None,Positive,None,None,Positive,None,None
716,Daglas Adams - SLAVA MU!,Positive,None,None,None,None,None,None
717,"Složio bih se tu... nije doslovce prikazan film, poseduje primetne alternacije u priči... ali sadrži isti duh i atmosferu.",None,None,None,None,None,Positive,None
718,mislim da je film nedovoljno opisao knjigu... ali ipak nije loš,None,None,None,None,Neutral,None,None
719,odličan film slažem se sa ocenom,None,None,None,None,Positive,Positive,None
720,"Najbolji deo ubedljivo.... nastavci su očajni u odnosu na ovaj.. a tek prvi deo, ja ne znam po čemu on može biti bolji od drugog",None,None,None,None,Positive,None,None
721,"Odlično rečeno! Zaista odlično ostvarenje, ovakvi filmovi se više ne prave..... 10/10",None,None,None,None,Positive,Positive,None
723,"Ova recenzija me je duboko povredila. Iako je 10/10 najmanje što ovaj film zaslužuje, njegov prethodnik je najbolji film svih vremena i tačka.",None,None,None,None,Positive,Negative,None
724,Fantazija od filma... Gledao ga par puta i mogao bih opet... Odličan!,None,None,None,None,Positive,None,None
725,o bože koliko ovaj kritičar ne zna,None,None,None,None,None,Negative,None
726,"Pročitao sam prvo knjigu pa onda pogledao film.... i bio sam zadovoljan i jednim i drugim, pretposlednja scena u filmu [scena na trgu] je neverovatna. 9/10",None,None,None,None,Positive,None,None
727,"Dobar film. Dakle, ne loš, ne odličan, samo dobar film koji vredi pogledati samo radi gledanja. 7.5/10",None,None,None,None,Neutral,None,None
728,"Meni je ovaj film apsolutno sjajan - fantastičan spoj zanimljive grafike i dobre priče, obrađene na pravi način.",Positive,None,None,None,Positive,None,Positive
729,"Pa ovo je baš oslikavanje Frenk Milerovog stripa, svaka sekvenca kao u grafičkom romanu je skoro doslovce prikazana.",Neutral,None,None,None,None,None,None
730,"e ovo se potpuno ne slažem. mene baš nervira to što su takve boje, sve deluje kompjuterski, itd. u stvari, jedino što valja je džerard batler, ali je i on previše nabildovan.",None,None,Positive,None,None,Negative,Negative
731,Ja moram priznati da sam ovaj film doživeo isto kao i ti - film o razmaženoj samoživoj budali koju su sopstvena glupost i nerazumevanje svega oko sebe odveli u smrt. I kao takav bio mi je gotivan :) Nije da padneš u nesvest ali je dobar.,None,None,None,None,Neutral,Positive,None
732,"Počeo dobro.. Ona scena kad mu se kosa zakači za pirsing na početku i komentar:  'Bem ti minđušu!'', pišanje. Ja mislila da će biti filmčina, kad ono... cvrc. Slažem se s tobom skroz! :)",None,None,None,None,Negative,Positive,None
733,"Svaka čast Gorane, potpuno se slažem, jako precenjen film",None,None,None,None,Negative,Positive,None
734,"Bravo majstore, svaka ti je zlatna! Od prve do poslednje rečenice! Nemam šta da dodam. Da se razumemo, produkcijski, film je iznad proseka, ali ukupan utisak, ukus koji ostaje u ustima svakog ko malo dublje zađe u suštinu... ocena 3,7/10",None,None,None,None,Negative,Positive,Positive
735,"Slažem se sa tvojim stavovima o glavnom liku, ali ne vidim gde je tu film podbacio. Film nas podseća zašto je čovek društveno biće. Svi koji su bilo šta postigli u životu, učinili su to zahvaljujući drugima.",None,None,None,None,None,Positive,None
737,"prestrog si prema filmu, meni je poenta super, istinita priča, i drago mi je videti nekog kako se drži svojih principa, uverenja, ideala do kraja.",Positive,None,None,None,None,None,None
741,"Standing ovation za ovaj rivju. :) Svaka čast! :) Potpisujem od prve do poslednje reči. Rupe u priči, nelogičnosti, nedoslednosti, potpuni promašaj. Film koji je ""mnogo hteo, malo započeo"". :)",None,None,None,None,Negative,Positive,None
742,Film ima par scena gde sam stvarno umirao od smeha... Sve u svemu sasvim dobar film...,None,None,None,None,Positive,None,None
743, I found on the floor there. Right there on the floor there. Just laying there!  - Crk'o sam od smeha..,None,None,None,None,Positive,None,None
744,"Bred Pit je briljirao, zaista sjajan film, urnebesan, ali tera na razmišljanje.",None,None,Positive,None,Positive,None,None
745,"Džon Malkovič je urnebesan, kao i ceo film u suštini. Ja se zamalo nisam uneredio od toliko smejanja :D",None,None,Positive,None,Positive,None,None
746,"Kao što već više puta rekoh braća Koen ne mogu da podbace, što se tiče filma baš si potrefio opis, mogu samo dodati da je baš zamršen xD a Bred Pitov lik je baš komedija xD",None,Positive,Positive,None,Positive,None,None
747,"Veoma dobar film... Malo spor doduše, ali nikako dosadan...",None,None,None,None,Positive,None,None
748,"Hvala puno! :D Ja sam isto prilično veliki fan Ženetovog rada.. jedino mi je nekako ""Alien Resurrection"" slab. Mislim nije užasan, ali nije ni u standardnom Ženetovom stilu! :S",None,Positive,None,None,Neutral,None,None
749,"sve što imam da kažem je : <3 ! obožavam ovaj film, uostalom, kao i svako ostvarenje Jean Pierre-a (doduše nisam znala da je većinu režirao zajedno sa Marc Caro-om) :) 5 bambija za recenzije!",None,Positive,None,None,Positive,None,None
750,"Imam 21 godinu, preferiram humor na višem nivou (možda zvuči nadobudno, ali ne mogu da stavljam sebe u isti koš sa nekim ko gleda kursadžije itd.), ali sam se ipak smejao ko lud gledajući ovaj film. Ne vidim ovo kao samo ""dečiji humor"" :D",None,None,None,None,Positive,None,None
752,Simpatičnost Agnes je slaba kopija onog slatkog čeljada iz Monster INC. To mi je najviše išlo na živce. Još ima tri devojčice i ničiji lik nije dovoljno dočaran.,None,None,Positive,None,None,None,None
753,Malo je 6 za ovakav crtani! :) Ja sam se baš dobro ismejala!,None,None,None,None,Positive,None,None
754,"Misliš da je malo? :) Pa moguće, malo jeste infantilnije ali je ipak zabavan... razmotriću o promeni ocene! :)",None,None,None,None,Positive,None,None
755,Malo je 6 za ovakav crtani! Ja se ismejah i to baš! :),None,None,None,None,Positive,None,None
756,uradite recenziju filma bulduram prvi film suzan sarandon isto sportski film odličan je,None,None,None,None,Positive,None,None
757,Kao i uvek maestralni čika Robin Vilijams! Vrlo dobar film.,None,None,Positive,None,Positive,None,None
759,"I meni se sviđa.... nemoj ti meni preporuka, nego share-uj :P",None,None,None,None,Positive,Positive,None
760,"Kul film, sviđa mi se.. nije pretrpan likovima i dešavanjima a u drugu ruku nije dosadan :D Preporuka!",None,None,None,None,Positive,None,None
761,film je odličan.. nasmejao me par puta.. a da to nije hteo.. da tako kažem.. :) 8/10,None,None,None,None,Positive,None,None
762,ako bi postojala merna jedinica za dosadan film to bi bio ovaj. Biti John Malkovich je neuporediv sa ovim bullshitom,None,None,None,None,Negative,None,None
763,...dosada me naterala da pogledam ovaj film..... nije nešto.. ima dobrih fazona.... 5/10,None,None,None,None,Neutral,None,None
764,"ima ideju koja je više nego odlična, mislim putovanje kroz vreme uz pomoć đakuzija ali ima slabo ispričanu priču koja guši samu ideju.. sve u svemu za gledanje u nedelju posle porodičnog ručka da se nasmejete i zaboravite.",Neutral,None,None,None,Neutral,None,None
766,"ako je već sam koncept bizaran, trebao je film da ostane dostojan sebi, i realnom napravi neobaveznu zbrku šala i kulturoloških ismevanja. On umesto toga davi sebe sa jednom zbrzanom i praznom pričom, koja je samo skratila čitavo iskustvo.",Negative,None,None,None,Negative,None,None
767,"E, znaš li gde mogu da nađem knjigu? Ako je film ovoliko sjajan mora i knjiga da bude.",None,None,None,None,Positive,None,None
769,"Film koji je kul iako sam u prvom gledanju istog zaspao negde na polovini xD Fura svoj fazon i ne prati ""trendove"" što je dobro, samo što ga treba razumeti..",None,None,None,None,Positive,None,None
770,"Ovo je čista genijalnost! Kjubrik, šta više reći. A tek Selers! Dok je neba i zemlje! Uvek sam se pitao, zašto je ""otišao"", ipak, rano! 54 godine! Da je još malo ostao, kakvih bi uloga bilo! Savršenstvo!",None,Positive,Positive,None,Positive,None,None
771,Jedan od filmova koga krasi stvarno kvalitetan humor.,None,None,None,None,Positive,None,None
772,molio bih recenziju filma fan sa robertom de nirom i vesli snajpsom u glavnim ulogama jako težak ali dobar film de niro maestralan u ulozi negativca,None,None,Positive,None,Positive,None,None
775,"Kvalitetan je film, odlično je ovaj odglumio, a i poruka je sjajna.... čekiraj pa javi utiske! :D",Positive,None,Positive,None,Positive,None,None
776,Hmmmm... Posle filma mi nije bilo dobro... Imao sam osećaj kao da sam se ja nadrogirao...,None,None,None,None,Neutral,None,None
777,"uz lebovskog, jedan od smešnijih filmova ikad. preporuka!",None,None,None,None,Positive,None,None
778,slažem se! odlična recenzija i adaptacija dela!,None,None,None,None,Positive,Positive,None
779,"Realno... Od ovako budalastog filma, jedino je poster super!",None,None,None,None,Negative,None,None
782,nemam šta posebno da dodam... definitivno se slažemo oko ove teme :D,None,None,None,None,None,Positive,None
783,"ovo je stvarno opšta katastrofa, nema ni jedan momenat da kažeš da je izvukao film. Ja sam gledao, i nervirao se za sve pare.",None,None,None,None,Negative,None,None
784,"Odgovarajuća ocena. Dođem kući i kaže mi my darling: ""Ej gledala sam toliko glup film da moraš da ga pogledaš..."" i eto tako sam ga i pogledao :)))",None,None,None,None,Negative,Positive,None
785,"https://www.facebook.com/MajklJ23/media_set?set=a...   inače, Avatar kida",None,None,None,None,Positive,None,None
786,"Film nije toliko loš. Tačno da je radnja neoriginalna. Čak ni meni nisu promakli motivi iz ""Matriksa"" i ""Plesa sa vukovima"". Možda je i namerno naivna, bajkovita priča, kao u crtanom filmu, da bi ga što više klinaca pogledalo. Što bi povećalo zaradu filma i diglo ekološku svest podmlatka :-)",Neutral,None,None,None,Neutral,None,None
787,1/10!? Pa zato ti je Klip 10/10!!!!????? Brale... gadno si se umislio....,None,None,None,None,None,Negative,None
788,"Strašno loša recenzija, ocena nikako ne bi trebalo da bude jedan, makar zbog fenomenalnih vizuelnih efekata. Film nije prazan, ima solidnu priču (*lepo razrađena mitologija Pandore), a i ovo je jedan od malog broja filmova gde je čovek vanzemaljac!",Positive,None,None,None,None,Negative,Positive
789,Avatar - najbolji film ikada.,None,None,None,None,Positive,None,None
790,"Ne znam zašto ste baš udarili na ovaj film, ima on i dublju i kompleksniju priču! Impresionističko-simbolički film, pokušajte da shvatite i vidite ono što se ne može videti okom!",Positive,None,None,None,None,None,None
791,"Ne pročitah sve komentare, nadam se da mi neko neće zameriti ukoliko ću ponoviti nešto što je već neko rekao... Ovo je u stvari politički korektan western gde se genocidni kauboji izvinjavaju Indijancima što su ih istrebili sa njihovih večnih staništa... Indijanci nemaju ništa od toga, osim katastrofalno lošeg filma...",None,None,None,None,Negative,None,None
792,"Kad vas čovek sluša kako suvereno kritikujete, mislio bi da ste, u najmanju ruku, snimili bar 5 filmova boljih od ovog... ajd' ne lupajte.",None,None,None,None,None,Negative,None
793,"Apsolutno se slažem. Kolonizatorska ideja. I da ne dužim, nije i ne može biti najbolji film svih vremena.  Klasična komercijala.",None,None,None,None,Negative,Positive,None
794,"prikaz onoga što očekujemo u video igrama budućnosti na PC-u koji neće biti sputavan hardverskim zahtevima konzola - real time ray tracing rendering. u svetu filma ovo je Crysis 1, super prikaz ali slaba priča i sve ostalo.",Negative,None,None,None,None,None,Positive
796,"Nema smisla da pljujete ovakav projekat. Ne pričamo o svim kritičkim karakteristikama, pričamo o osećajima koje doživljavamo dok gledamo ovaj film. Neko je rekao da ga je prespavao. E baš me interesuje kako je to uspeo, a 1/10 stvarno nije realna ocena. Nema smisla.",None,None,None,None,Neutral,Negative,None
797,svaka čast na recenziji. :) Apsolutno se slažem sa napisanim.,None,None,None,None,None,Positive,None
798,bravo za komentar... najgori film u istoriji filma,None,None,None,None,Negative,Positive,None
799,"kako je lepo biti kritičar... osećaš se da radiš nešto produktivno i važno.... dok u stvari ""pljuješ"" po tuđim radovima.... pitanje za autora ovog teksta... možete li vi bolje.... možete li vi napraviti film (čak i ako biste imali sredstva????)... ne... pa naravno!!!!!  p.s. jedva čekam nastavak ""avatar-a""",None,None,None,None,Positive,Negative,None
800,"Bravo. Nekoliko puta sam počinjao s gledanjem, pa odustajao... Kao što sam s nestrpljenjem čekao da izađu Thor i Captain America i po ko zna koji put se razočarao u američku kinematografiju...",None,None,None,None,Negative,Positive,None
803,potpuno si u pravu jedini razlog koji je navukao publiku u bioskope je 3D tehnologija!!!,None,None,None,None,None,Positive,None
804,"Slažem se sa recenzijom u potpunosti, Film te prosto zaslepi vizuelnim efektima da ne bi obraćao pažnju na tako očajnu priču. Ti efekti su odlično odrađeni ali ONI NE ČINE FILM DOBRIM.",Negative,None,None,None,Negative,Positive,Positive
805,"Joj. Sad sam tek pročitao polovinu tvoje 'recenzije'. Bez veze si popljuvao ovakvo remek-delo. I da, Jake Sully je u kolicima u 2154. godini jer je veoma siromašan. Izabrali su ga jer je imao isti DNK kao njegov brat...",None,None,None,None,Positive,Negative,None
806,film je glupost,None,None,None,None,Negative,None,None
807,"Najbolja kritika 'Avatara' koju sam pročitao! Film nije to, već obična video igrica i stvarno je tužno što je, kao takav najgledaniji... Ocena 0/10",None,None,None,None,Negative,Positive,None
808,Ubedljivo najbolji film na svetu! Ovakvo prelepo remek-delo neće izaći sve do nastavka!,None,None,None,None,Positive,None,None
810,Sve pohvale na tekst. Moj prijatelj je primetio jednu malu grešku: nije Jaws (1975) bio prikazan u 3D već jedan od nastavaka tj. Jaws 3-D (1983).,None,None,None,None,None,Positive,None
811,"Meni se film izuzetno svideo, jer je kul !",None,None,None,None,Positive,None,None
812,"hvala, ja sam naprosto zgrožen onime što sam video u ovom projektu",None,None,None,None,Negative,Neutral,None
813,"bravo majstore!!!!!! konačno neka osoba koja deli moje mišljenje, stvarno svaka čast. (inače moj drugar ovaj film naziva kultnim xDDDDD )",None,None,None,None,None,Positive,None
814,"Pazi, dao bih ti 100 pluseva da može...",None,None,None,None,None,Positive,None
815,"Jasno sam naveo faktore zbog kojih smatram da je film loš. Nemam nikakvih dodira sa hipster pokretom, to što nisam oran da prihvatim svaki blockbuster to je na meni. Niko te ne primorava da se složiš.",None,None,None,None,Negative,Negative,None
816,"Upravo to... očigledno nismo dovoljno ""moderni""! ;)",None,None,None,None,None,Positive,None
817,"Ahahahahah! Like je katastrofa, baš kao i film! :D Ne znam, konstatno upadam u ozbiljne rasprave zbog mojih stavova o filmu, i iskonski smatram da je očajan.",None,None,None,None,Negative,None,None
820,"Pa ti si onda dosta propustila... problem je što je ova priča toliko puta već ispričana, i to na skoro isti način da je već postalo nepodnošljivo.... ovde se jasno vide segmenti iz ovih filmova: http://www.imdb.com/title/tt0104254/ http://imdb.to/g0Clli http://www.imdb.com/title/tt0472043/  Avatar je definitivno kombinacija ovih projekata, i u tome nema ništa originalno...",None,None,None,None,Negative,Negative,None
822,"Svetu definitivno nije trebao još jedan 'Titanik' film... Mudro sam zaobišla ovaj film, ne volim tu kič-dramatiku, i klasične stereotipe. Jedna reč: dosadno.",None,None,None,None,Negative,None,None
823,Upravo tako... Udavi nas inače nekad sjajni Kamerun.,None,Negative,None,None,None,Positive,None
824,"Upravo to. Isto sam ogroman Sci-fi fan, ali svaki popularni film iz tog žanra mora da sadrži originalnu filozofiju, i kvalitetnu priču, da bi te uvukao u čitav trip... ovo je sramotno.",None,None,None,None,Negative,Positive,None
826,Kameron je osoba koja voli da zaradi pare.. i zaradio je pare i na Avataru. Njemu savršeno dovoljno,None,Neutral,None,None,None,None,None
827,tačno do poslednje reči!,None,None,None,None,None,Positive,None
831,"e, zbog ovog članka/recenzije ću da dođem na blog ponovo :) smorio sam se objašnjavajući ljudima poentu.",None,None,None,None,None,Positive,None
832,"Film je odličan, kao i svi Andersenovi filmovi koje sam odgledao..",None,Positive,None,None,Positive,None,None
833,"Odgledao film, u potpunosti se slažem sa recenzijom, s tim da bih dao još nižu ocenu od pet.. Živeli...",None,None,None,None,Negative,Positive,None
834,zanima me zašto niko ne napiše recenziju filma plan leta sa džodi foster film je fenomenalan,None,None,None,None,Positive,None,None
835,Ko voli Šerloka preporučujem odličnu seriju! Serija je samo na papiru jer jedna sezona predstavlja zapravo tri povezana filma. Odlične kritike i hvaljena kod publike. http://www.imdb.com/title/tt1475582/,None,None,None,None,Positive,None,None
837,Odličan !!!,None,None,None,None,Positive,None,None
838,"Pre će biti da je obrnuto tj. da je Haus nastao po uzoru na Šerloka Holmsa barem po rečima kreatora serije House M.D. U svakom slučaju paralela postoji. A što se tiče samog filma, nedavno sam ga gledao po treći put sa velikim uživanjem. Genijalna gluma i još genijalnija režija.",None,Positive,Positive,None,Positive,Negative,None
839,"Kjubrik, kao pravi ekscentrik, spada u onu sortu ljudi koji su bili ispred svog vremena... stvarno je zahtevalo dosta ""pelotas"" i intelekta, da se ova užasavajuća situacija, doživi kao jedan veliki paradoks.",None,Positive,None,None,None,None,None
840,"Meni je baš stvorio onu pravu sliku, tj. Frojdovsku lika kojeg je opisivao Konan Dojl. Jako je zabavan film, dinamičan, pravi kvalitetni blockbuster :D",None,None,None,None,Positive,None,None
841,"Hah, dobar je filmić, baš onako mutan. :) Samo što nisam uspela da se otrgnem utisku da je ""novi"" Šerlok prikazan kao dr Gregory House svog vremena. :)",None,None,None,None,Positive,None,None
842,Nisam ni sumnjao u Ričija. :),None,Positive,None,None,None,None,None
843,"Odličan film, odlična recenzija. I meni se jako svideo novi ugao na Šerloka. Totalno je osvežavajući.",None,None,None,None,Positive,Positive,None
844,pa dobro to ne može da smeta toliko kao bespotrebno ubacivanje klišea,Negative,None,None,None,None,None,None
845,"pa i to, a i nepotrebna glavna ženska uloga... nisam video nikakvu svrhu od nje.",None,None,Negative,None,None,None,None
846,"Svaka čast! Užas, užas, užas!!",None,None,None,None,None,Positive,None
847,"originalan film, sjajno prikazana jednostavna priča o ubistvu al pomalo naporan film ocena 7/10",Neutral,None,None,None,Neutral,None,None
